letra, interacoes,seed,experimento 
a,41,140297167,1
b,51,140297167,1
c,5001,140297167,1
d,45,140297167,1
a,44,117054023,2
b,23,117054023,2
c,27,117054023,2
d,1612,117054023,2
a,4,960453093,3
b,4,960453093,3
c,3,960453093,3
d,6,960453093,3
a,13,965867778,4
b,13,965867778,4
c,13,965867778,4
d,5001,965867778,4
a,5,542021,5
b,5,542021,5
c,5,542021,5
d,136,542021,5
a,27,2041998,6
b,5001,2041998,6
c,5001,2041998,6
d,35,2041998,6
a,7,15031998,7
b,10,15031998,7
c,11,15031998,7
d,208,15031998,7
a,213,40028922,8
b,5001,40028922,8
c,5001,40028922,8
d,1412,40028922,8
a,91,3112001,9
b,5001,3112001,9
c,5001,3112001,9
d,4317,3112001,9
a,74,1472011,10
b,5001,1472011,10
c,5001,1472011,10
d,26,1472011,10
a,47,10122001,11
b,5001,10122001,11
c,5001,10122001,11
d,152,10122001,11











